"Plot Title: Chute2014-04-15"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 10395000, SEN S/N: 10395000)","Full Range, μS/cm (LGR S/N: 10395000, SEN S/N: 10395000)","Temp, °C (LGR S/N: 10395000, SEN S/N: 10395000)","Started (LGR S/N: 10395000, SEN S/N: 10395000)","Coupler Attached (LGR S/N: 10395000, SEN S/N: 10395000)","Host Connected (LGR S/N: 10395000, SEN S/N: 10395000)","Stopped (LGR S/N: 10395000, SEN S/N: 10395000)","End Of File (LGR S/N: 10395000, SEN S/N: 10395000)"
76,04/16/14 05:45:00 AM,2409.7,4323.5,19.13,,,,,
77,04/16/14 06:00:00 AM,2409.8,4321.4,19.10,,,,,
78,04/16/14 06:15:00 AM,2410.0,4318.0,19.05,,,,,
79,04/16/14 06:30:00 AM,2409.9,4320.7,19.06,,,,,
80,04/16/14 06:45:00 AM,2410.0,4318.5,19.05,,,,,
81,04/16/14 07:00:00 AM,2410.0,4318.0,19.05,,,,,
82,04/16/14 07:15:00 AM,2409.9,4316.6,19.08,,,,,
83,04/16/14 07:30:00 AM,2409.8,4319.2,19.09,,,,,
84,04/16/14 07:45:00 AM,2409.8,4320.9,19.10,,,,,
85,04/16/14 08:00:00 AM,2409.7,4324.8,19.14,,,,,
86,04/16/14 08:15:00 AM,2409.7,4325.7,19.13,,,,,
87,04/16/14 08:30:00 AM,2409.6,4327.4,19.16,,,,,
88,04/16/14 08:45:00 AM,2409.4,4334.3,19.22,,,,,
89,04/16/14 09:00:00 AM,2409.1,4337.9,19.30,,,,,
90,04/16/14 09:15:00 AM,2408.9,4343.0,19.37,,,,,
91,04/16/14 09:30:00 AM,2408.7,4347.7,19.40,,,,,
92,04/16/14 09:45:00 AM,2408.6,4350.2,19.44,,,,,
93,04/16/14 10:00:00 AM,2408.4,4354.9,19.50,,,,,
94,04/16/14 10:15:00 AM,2408.4,4356.6,19.51,,,,,
95,04/16/14 10:30:00 AM,2408.1,4363.0,19.59,,,,,
96,04/16/14 10:45:00 AM,2407.5,4376.5,19.74,,,,,
97,04/16/14 11:00:00 AM,2407.0,4389.3,19.89,,,,,
98,04/16/14 11:15:00 AM,2406.5,4399.8,20.03,,,,,
99,04/16/14 11:30:00 AM,2406.0,4417.4,20.18,,,,,
100,04/16/14 11:45:00 AM,2405.9,4419.9,20.22,,,,,
101,04/16/14 12:00:00 PM,2405.8,4422.9,20.26,,,,,
102,04/16/14 12:15:00 PM,2405.5,4428.4,20.32,,,,,
103,04/16/14 12:30:00 PM,2405.1,4438.5,20.44,,,,,
104,04/16/14 12:45:00 PM,2404.1,4466.1,20.74,,,,,
105,04/16/14 01:00:00 PM,2403.3,4483.5,20.95,,,,,
106,04/16/14 01:15:00 PM,2403.3,4487.0,20.95,,,,,
107,04/16/14 01:30:00 PM,2403.3,4484.8,20.95,,,,,
108,04/16/14 01:45:00 PM,2403.6,4476.7,20.87,,,,,
109,04/16/14 02:00:00 PM,2403.6,4478.9,20.88,,,,,
110,04/16/14 02:15:00 PM,2403.2,4488.1,21.00,,,,,
111,04/16/14 02:30:00 PM,2403.1,4492.0,21.03,,,,,
112,04/16/14 02:45:00 PM,2403.2,4489.5,21.00,,,,,
113,04/16/14 03:00:00 PM,2403.4,4481.3,20.92,,,,,
114,04/16/14 03:15:00 PM,2403.7,4473.6,20.86,,,,,
115,04/16/14 03:30:00 PM,2403.8,4470.7,20.81,,,,,
116,04/16/14 03:45:00 PM,2404.0,4466.5,20.77,,,,,
117,04/16/14 04:00:00 PM,2404.1,4463.0,20.74,,,,,
118,04/16/14 04:15:00 PM,2404.1,4463.1,20.73,,,,,
119,04/16/14 04:30:00 PM,2404.2,4461.4,20.70,,,,,
120,04/16/14 04:45:00 PM,2404.1,4461.7,20.73,,,,,
121,04/16/14 05:00:00 PM,2404.1,4462.6,20.73,,,,,
122,04/16/14 05:15:00 PM,2404.3,4457.9,20.69,,,,,
123,04/16/14 05:30:00 PM,2404.6,4449.0,20.58,,,,,
124,04/16/14 05:45:00 PM,2404.9,4438.7,20.49,,,,,
125,04/16/14 06:00:00 PM,2405.2,4430.6,20.41,,,,,
126,04/16/14 06:15:00 PM,2405.3,4428.1,20.37,,,,,
127,04/16/14 06:30:00 PM,2405.5,4424.7,20.33,,,,,
128,04/16/14 06:45:00 PM,2405.5,4422.5,20.33,,,,,
129,04/16/14 07:00:00 PM,2405.6,4418.7,20.29,,,,,
130,04/16/14 07:15:00 PM,2405.7,4416.9,20.28,,,,,
131,04/16/14 07:30:00 PM,2405.9,4411.9,20.22,,,,,
132,04/16/14 07:45:00 PM,2405.9,4409.3,20.20,,,,,
133,04/16/14 08:00:00 PM,2405.9,4408.8,20.22,,,,,
134,04/16/14 08:15:00 PM,2406.1,4405.0,20.15,,,,,
135,04/16/14 08:30:00 PM,2406.3,4398.6,20.10,,,,,
136,04/16/14 08:45:00 PM,2406.6,4390.5,20.01,,,,,
137,04/16/14 09:00:00 PM,2407.0,4380.8,19.89,,,,,
138,04/16/14 09:15:00 PM,2407.4,4371.4,19.80,,,,,
139,04/16/14 09:30:00 PM,2407.5,4369.8,19.76,,,,,
140,04/16/14 09:45:00 PM,2407.5,4368.8,19.77,,,,,
141,04/16/14 10:00:00 PM,2407.5,4367.2,19.74,,,,,
142,04/16/14 10:15:00 PM,2407.6,4364.6,19.72,,,,,
143,04/16/14 10:30:00 PM,2407.6,4362.8,19.72,,,,,
144,04/16/14 10:45:00 PM,2407.7,4361.5,19.71,,,,,
145,04/16/14 11:00:00 PM,2407.7,4358.9,19.69,,,,,
146,04/16/14 11:15:00 PM,2407.7,4358.9,19.69,,,,,
147,04/16/14 11:30:00 PM,2407.9,4352.9,19.64,,,,,
148,04/16/14 11:45:00 PM,2408.1,4346.9,19.59,,,,,
149,04/17/14 12:00:00 AM,2408.2,4343.5,19.55,,,,,
150,04/17/14 12:15:00 AM,2408.2,4343.0,19.55,,,,,
151,04/17/14 12:30:00 AM,2408.2,4340.3,19.55,,,,,
152,04/17/14 12:45:00 AM,2408.5,4334.8,19.48,,,,,
153,04/17/14 01:00:00 AM,2408.5,4333.5,19.47,,,,,
154,04/17/14 01:15:00 AM,2408.4,4333.9,19.50,,,,,
155,04/17/14 01:30:00 AM,2408.2,4338.1,19.55,,,,,
156,04/17/14 01:45:00 AM,2408.2,4340.3,19.56,,,,,
157,04/17/14 02:00:00 AM,2408.2,4339.4,19.55,,,,,
158,04/17/14 02:15:00 AM,2408.3,4339.1,19.54,,,,,
159,04/17/14 02:30:00 AM,2408.3,4337.3,19.52,,,,,
160,04/17/14 02:45:00 AM,2408.5,4331.7,19.48,,,,,
161,04/17/14 03:00:00 AM,2408.6,4328.7,19.44,,,,,
162,04/17/14 03:15:00 AM,2408.8,4323.6,19.39,,,,,
163,04/17/14 03:30:00 AM,2408.8,4321.0,19.38,,,,,
164,04/17/14 03:45:00 AM,2408.8,4321.9,19.38,,,,,
165,04/17/14 04:00:00 AM,2408.7,4321.7,19.42,,,,,
166,04/17/14 04:15:00 AM,2408.7,4321.3,19.40,,,,,
167,04/17/14 04:30:00 AM,2408.8,4317.9,19.38,,,,,
168,04/17/14 04:45:00 AM,2408.9,4314.9,19.35,,,,,
169,04/17/14 05:00:00 AM,2409.0,4310.1,19.33,,,,,
170,04/17/14 05:15:00 AM,2409.1,4307.0,19.30,,,,,
171,04/17/14 05:30:00 AM,2409.1,4307.1,19.29,,,,,
172,04/17/14 05:45:00 AM,2409.1,4304.4,19.29,,,,,
173,04/17/14 06:00:00 AM,2409.1,4305.6,19.31,,,,,
174,04/17/14 06:15:00 AM,2409.1,4303.5,19.29,,,,,
175,04/17/14 06:30:00 AM,2409.3,4300.1,19.25,,,,,
176,04/17/14 06:45:00 AM,2409.2,4299.6,19.27,,,,,
177,04/17/14 07:00:00 AM,2409.2,4298.2,19.27,,,,,
178,04/17/14 07:15:00 AM,2409.2,4296.0,19.26,,,,,
179,04/17/14 07:30:00 AM,2409.3,4293.0,19.25,,,,,
180,04/17/14 07:45:00 AM,2409.2,4296.0,19.27,,,,,
181,04/17/14 08:00:00 AM,2409.3,4246.0,19.23,,,,,
182,04/17/14 08:15:00 AM,2409.5,4286.5,19.20,,,,,
183,04/17/14 08:30:00 AM,2409.5,4283.0,19.18,,,,,
184,04/17/14 08:45:00 AM,2409.4,4285.0,19.22,,,,,
185,04/17/14 09:00:00 AM,2409.3,4285.4,19.23,,,,,
186,04/17/14 09:15:00 AM,2409.2,4288.4,19.26,,,,,
187,04/17/14 09:30:00 AM,2409.1,4288.3,19.29,,,,,
188,04/17/14 09:45:00 AM,2409.1,4286.1,19.29,,,,,
189,04/17/14 10:00:00 AM,2409.1,4287.4,19.30,,,,,
190,04/17/14 10:15:00 AM,2409.0,4289.4,19.34,,,,,
191,04/17/14 10:30:00 AM,2408.5,4300.4,19.48,,,,,
192,04/17/14 10:45:00 AM,2407.7,4306.1,19.69,,,,,
193,04/17/14 11:00:00 AM,2406.2,4324.2,20.12,,,,,
194,04/17/14 11:15:00 AM,994.9,1047.1,20.28,,,,,
195,04/17/14 11:30:00 AM,10.0,19.6,32.19,,,,,
196,04/17/14 11:45:00 AM,3.3,19.4,41.08,,,,,
197,04/17/14 12:00:00 PM,4.6,19.3,45.58,,,,,
198,04/17/14 12:15:00 PM,3.3,6.2,45.58,,,,,
199,04/17/14 12:30:00 PM,3.3,8.5,40.66,,,,,
200,04/17/14 12:45:00 PM,3.3,9.3,36.34,,,,,
201,04/17/14 01:00:00 PM,4.6,8.5,34.90,,,,,
202,04/17/14 01:15:00 PM,3.3,9.3,36.68,,,,,
203,04/17/14 01:30:00 PM,4.6,19.4,41.45,,,,,
204,04/17/14 01:45:00 PM,3.3,19.3,45.56,,,,,
205,04/17/14 02:00:00 PM,4.8,19.3,45.58,,,,,
206,04/17/14 02:15:00 PM,4.6,9.2,45.58,,,,,
207,04/17/14 02:30:00 PM,3.3,19.3,45.58,,,,,
208,04/17/14 02:45:00 PM,4.8,9.2,45.58,,,,,
209,04/17/14 03:00:00 PM,4.6,19.3,45.58,,,,,
210,04/17/14 03:15:00 PM,3.3,6.2,33.96,,,,,
211,04/17/14 03:30:00 PM,3.3,19.6,30.09,,,,,
212,04/17/14 03:45:00 PM,4.6,19.6,28.53,,,,,
213,04/17/14 04:00:00 PM,4.6,8.6,27.77,,,,,
214,04/17/14 04:15:00 PM,3.3,19.7,27.01,,,,,
215,04/17/14 04:30:00 PM,3.3,8.6,26.36,,,,,
216,04/17/14 04:45:00 PM,3.3,9.3,24.92,,,,,
217,04/17/14 05:00:00 PM,4.6,19.7,23.50,,,,,
218,04/17/14 05:15:00 PM,3.3,8.6,22.51,,,,,
219,04/17/14 05:30:00 PM,3.3,8.6,21.85,,,,,
220,04/17/14 05:45:00 PM,4.6,8.6,21.37,,,,,
221,04/17/14 06:00:00 PM,3.3,8.6,20.86,,,,,
222,04/17/14 06:15:00 PM,3.3,6.3,20.41,,,,,
223,04/17/14 06:30:00 PM,3.3,8.6,19.92,,,,,
224,04/17/14 06:45:00 PM,6.5,9.0,19.47,,,,,
225,04/17/14 07:00:00 PM,8.0,10.2,19.01,,,,,
226,04/17/14 07:15:00 PM,7.1,9.0,19.51,,,,,
227,04/17/14 07:30:00 PM,2.7,7.8,19.81,,,,,
228,04/17/14 07:45:00 PM,4.4,6.3,17.52,,,,,
229,04/17/14 08:00:00 PM,4.4,6.3,15.90,,,,,
230,04/17/14 08:15:00 PM,4.4,6.3,14.97,,,,,
231,04/17/14 08:30:00 PM,3.9,6.3,15.15,,,,,
232,04/17/14 08:45:00 PM,4.7,15.6,16.08,,,,,
233,04/17/14 09:00:00 PM,10.2,19.8,16.98,,,,,
234,04/17/14 09:15:00 PM,4.7,8.6,17.10,,,,,
235,04/17/14 09:30:00 PM,4.7,8.6,17.56,,,,,
236,04/17/14 09:45:00 PM,4.7,8.6,18.07,,,,,
237,04/17/14 10:00:00 PM,3.3,8.6,18.27,,,,,
238,04/17/14 10:15:00 PM,3.2,8.6,18.80,,,,,
239,04/17/14 10:30:00 PM,3.3,8.6,19.13,,,,,
240,04/17/14 10:45:00 PM,4.6,8.6,19.30,,,,,
241,04/17/14 11:00:00 PM,3.3,6.3,19.47,,,,,
242,04/17/14 11:15:00 PM,4.9,8.6,19.51,,,,,
243,04/17/14 11:30:00 PM,3.3,8.6,19.39,,,,,
244,04/17/14 11:45:00 PM,3.2,19.8,19.43,,,,,
245,04/18/14 12:00:00 AM,3.3,8.6,19.92,,,,,
246,04/18/14 12:15:00 AM,3.3,8.6,19.92,,,,,
247,04/18/14 12:30:00 AM,3.2,8.6,19.65,,,,,
248,04/18/14 12:45:00 AM,3.3,8.6,19.33,,,,,
249,04/18/14 01:00:00 AM,3.3,8.6,19.09,,,,,
250,04/18/14 01:15:00 AM,3.3,6.3,18.87,,,,,
251,04/18/14 01:30:00 AM,4.6,8.6,19.04,,,,,
252,04/18/14 01:45:00 AM,4.6,8.6,18.99,,,,,
253,04/18/14 02:00:00 AM,3.3,19.8,18.72,,,,,
254,04/18/14 02:15:00 AM,3.3,19.8,18.55,,,,,
255,04/18/14 02:30:00 AM,3.3,19.8,18.46,,,,,
256,04/18/14 02:45:00 AM,3.3,8.6,18.42,,,,,
257,04/18/14 03:00:00 AM,3.2,8.6,18.44,,,,,
258,04/18/14 03:15:00 AM,3.3,8.6,18.53,,,,,
259,04/18/14 03:30:00 AM,4.7,8.6,18.34,,,,,
260,04/18/14 03:45:00 AM,3.3,19.8,18.20,,,,,
261,04/18/14 04:00:00 AM,3.2,8.6,18.07,,,,,
262,04/18/14 04:15:00 AM,3.3,8.6,17.86,,,,,
263,04/18/14 04:30:00 AM,3.3,8.6,17.74,,,,,
264,04/18/14 04:45:00 AM,4.7,8.6,17.59,,,,,
265,04/18/14 05:00:00 AM,4.9,8.6,17.43,,,,,
266,04/18/14 05:15:00 AM,3.3,19.8,17.39,,,,,
267,04/18/14 05:30:00 AM,3.3,19.8,17.49,,,,,
268,04/18/14 05:45:00 AM,4.7,8.6,17.44,,,,,
269,04/18/14 06:00:00 AM,3.3,8.6,17.61,,,,,
270,04/18/14 06:15:00 AM,3.2,6.3,17.69,,,,,
271,04/18/14 06:30:00 AM,3.3,8.6,17.70,,,,,
272,04/18/14 06:45:00 AM,4.7,8.6,17.72,,,,,
273,04/18/14 07:00:00 AM,3.2,8.6,18.14,,,,,
274,04/18/14 07:15:00 AM,8.0,19.8,18.29,,,,,
275,04/18/14 07:30:00 AM,2.7,7.1,17.23,,,,,
276,04/18/14 07:45:00 AM,3.3,8.6,16.66,,,,,
277,04/18/14 08:00:00 AM,4.7,6.3,16.89,,,,,
278,04/18/14 08:15:00 AM,3.3,8.6,17.44,,,,,
279,04/18/14 08:30:00 AM,4.7,8.6,18.20,,,,,
280,04/18/14 08:45:00 AM,3.3,8.6,19.01,,,,,
281,04/18/14 09:00:00 AM,3.3,8.6,19.71,,,,,
282,04/18/14 09:15:00 AM,3.3,8.6,20.18,,,,,
283,04/18/14 09:30:00 AM,4.6,6.3,20.35,,,,,
284,04/18/14 09:45:00 AM,3.3,8.6,20.73,,,,,
285,04/18/14 10:00:00 AM,3.3,8.6,21.22,,,,,
286,04/18/14 10:15:00 AM,3.2,8.6,21.50,,,,,
287,04/18/14 10:30:00 AM,3.3,8.6,21.84,,,,,
288,04/18/14 10:45:00 AM,3.3,8.6,21.98,,,,,
289,04/18/14 11:00:00 AM,3.3,8.6,22.27,,,,,
290,04/18/14 11:15:00 AM,3.3,8.6,22.04,,,,,
291,04/18/14 11:30:00 AM,3.3,8.6,21.50,,,,,
292,04/18/14 11:45:00 AM,2.8,6.3,21.45,,,,,
293,04/18/14 12:00:00 PM,3.3,8.6,21.71,,,,,
294,04/18/14 12:15:00 PM,3.3,8.6,22.06,,,,,
295,04/18/14 12:30:00 PM,3.3,8.6,22.52,,,,,
296,04/18/14 12:45:00 PM,4.6,8.6,22.96,,,,,
297,04/18/14 01:00:00 PM,3.3,8.6,23.28,,,,,
298,04/18/14 01:15:00 PM,3.2,8.6,23.53,,,,,
299,04/18/14 01:30:00 PM,3.2,8.6,23.06,,,,,
300,04/18/14 01:45:00 PM,4.6,19.7,23.14,,,,,
301,04/18/14 02:00:00 PM,3.3,8.6,23.42,,,,,
302,04/18/14 02:14:21 PM,,,,,Logged,,,
303,04/18/14 02:14:30 PM,,,,,,Logged,,
304,04/18/14 02:14:46 PM,,,,,,,Logged,Logged
